index,category,filename,source_image,duration_seconds,width,height,fps
1,landscape,videos\landscape\landscape_video_0001_10s.mp4,landscape\landscape_0339_landscape-339-157321.jpg,10,1280,720,24
2,landscape,videos\landscape\landscape_video_0002_9s.mp4,landscape\landscape_0755_landscape-755-342606.jpg,9,1280,720,24
3,narrative,videos\narrative\narrative_video_0003_8s.mp4,narrative\narrative_0637_narrative-637-512934.jpg,8,1280,720,24
4,narrative,videos\narrative\narrative_video_0004_9s.mp4,narrative\narrative_0599_narrative-599-634778.jpg,9,1280,720,24
5,people,videos\people\people_video_0005_4s.mp4,people\people_0168_people-168-874937.jpg,4,1280,720,24
6,people,videos\people\people_video_0006_2s.mp4,people\people_0858_people-858-256754.jpg,2,1280,720,24
7,landscape,videos\landscape\landscape_video_0007_1s.mp4,landscape\landscape_0754_landscape-754-900838.jpg,1,1280,720,24
8,people,videos\people\people_video_0008_7s.mp4,people\people_0053_people-53-193703.jpg,7,1280,720,24
9,landscape,videos\landscape\landscape_video_0009_7s.mp4,landscape\landscape_0732_landscape-732-246078.jpg,7,1280,720,24
10,people,videos\people\people_video_0010_2s.mp4,people\people_0862_people-862-515794.jpg,2,1280,720,24
11,narrative,videos\narrative\narrative_video_0011_1s.mp4,narrative\narrative_0978_narrative-978-596696.jpg,1,1280,720,24
12,narrative,videos\narrative\narrative_video_0012_4s.mp4,narrative\narrative_0762_narrative-762-380455.jpg,4,1280,720,24
13,random,videos\random\random_video_0013_8s.mp4,random\random_0407_random-407-271625.jpg,8,1280,720,24
14,random,videos\random\random_video_0014_1s.mp4,random\random_0487_random-487-260650.jpg,1,1280,720,24
15,landscape,videos\landscape\landscape_video_0015_9s.mp4,landscape\landscape_0025_landscape-25-187463.jpg,9,1280,720,24
16,random,videos\random\random_video_0016_3s.mp4,random\random_0082_random-82-708451.jpg,3,1280,720,24
17,people,videos\people\people_video_0017_2s.mp4,people\people_0345_people-345-404708.jpg,2,1280,720,24
18,narrative,videos\narrative\narrative_video_0018_7s.mp4,narrative\narrative_0545_narrative-545-844547.jpg,7,1280,720,24
19,random,videos\random\random_video_0019_9s.mp4,random\random_0153_random-153-749638.jpg,9,1280,720,24
20,landscape,videos\landscape\landscape_video_0020_6s.mp4,landscape\landscape_0670_landscape-670-770215.jpg,6,1280,720,24
21,random,videos\random\random_video_0021_9s.mp4,random\random_0271_random-271-925438.jpg,9,1280,720,24
